c,LP,1,Vous êtes libéré de prison. Cette carte peut être conservée jusqu'à ce qu'elle soit utilisée
c,MR,2,Reculez de trois cases,-3
c,AR,3,Vous êtes imposés pour les réparations de voirie à raison de : 40 € par maison et 115€ par hôtel,-40,-115
c,AA,4,Amende pour excès de vitesse : 15€,-15
c,AR,5,Faites des réparations dans toutes vos maisons : versez pour chaque maison 25€ et pour chaque hôtel 100€,-25,-100
c,AA,6,Amende pour ivresse : 20€,-20
c,MA,7,Avancez jusqu'à la case Départ,1
c,P,8,Allez en prison. Avancez tout droit en prison. Ne passez pas par la case Départ. Ne recevez pas 200€
c,MA,9,Rendez-vous à l'Avenue Henri-Martin. Si vous passez par la case Départ recevez 200€,25
c,MA,10,Allez à la gare de Lyon. Si vous passez par la case Départ recevez 200€,16
c,AA,11,Payez pour frais de scolarité : 150€,-150
c,AA,12,Vous avez gagné le prix de mots croisés. Recevez 100€,100
c,AA,13,La Banque vous verse un dividende de 50€,50
c,MA,14,Rendez-vous à la Rue de la Paix,40
c,AA,15,Votre immeuble et votre prêt rapportent. Vous devez toucher 150€,150
c,MA,16,Accédez au Boulevard de la Villette. Si vous passez par la case Départ. recevez 200€,12
cc,LP,17,Vous êtes libéré de prison. Cette carte peut être conservée jusqu'à ce qu'elle soit utilisée
cc,AA,18,Payez une amende de 10€,-10
cc,AS,19,C'est votre anniversaire. Chaque joueur doit vous donner 10€,10
cc,AA,20,Erreur de la banque en votre faveur. Recevez 200€,200
cc,MA,21,Retournez à Belleville,1
cc,AA,22,Payez la note du médecin : 50€,-50
cc,AA,23,Les contributions vous remboursent la somme de 20€,20
cc,AA,24,Payez à l'hôpital 100€,-100
cc,AA,25,Vous héritez : 100€,+100
cc,P,26,Allez en prison. Avancez tout droit en prison. Ne passez pas par la case Départ. Ne recevez pas 200€
cc,AA,27,Payez votre Police d'Assurance : 50€,-50
cc,AA,28,La vente de votre stock vous rapporte : 50€,50
cc,MA,29,Avancez jusqu'à la case Départ.,1
cc,AA,30,Recevez votre intérêt sur l'emprunt à 7% : 25€,25
cc,AA,31,Recevez votre revenu annuel : 100€,100
cc,AA,32,Vous avez gagné le deuxième prix de beauté : recevez 10€,10
